Addition,Maybe,Not,Useful,All
0.0,0.06666666666666667,0.0,0.9333333333333333,1.0
0.0,0.13333333333333333,0.0,0.8666666666666667,1.0
0.0,0.13333333333333333,0.0,0.8666666666666667,1.0
0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667,1.0
0.0,0.13333333333333333,0.06666666666666667,0.8,1.0
0.0,0.14285714285714285,0.07142857142857142,0.7857142857142857,1.0
0.0,0.26666666666666666,0.0,0.7333333333333333,1.0
0.0,0.2,0.06666666666666667,0.7333333333333333,1.0
0.0,0.2,0.06666666666666667,0.7333333333333333,1.0
0.0,0.2,0.06666666666666667,0.7333333333333333,1.0
0.0,0.13333333333333333,0.13333333333333333,0.7333333333333333,1.0
0.0,0.13333333333333333,0.13333333333333333,0.7333333333333333,1.0
0.0,0.06666666666666667,0.2,0.7333333333333333,1.0
0.0,0.06666666666666667,0.26666666666666666,0.6666666666666666,1.0
0.0,0.0,0.3333333333333333,0.6666666666666666,1.0
0.0,0.07142857142857142,0.2857142857142857,0.6428571428571429,1.0
0.0,0.2,0.2,0.6,1.0
0.0728744939271255,0.1700404858299595,0.22267206477732793,0.5344129554655871,1.0
0.0,0.2,0.3333333333333333,0.4666666666666667,1.0
0.0,0.13333333333333333,0.4,0.4666666666666667,1.0
0.0,0.18181818181818182,0.36363636363636365,0.45454545454545453,1.0
0.0,0.35714285714285715,0.21428571428571427,0.42857142857142855,1.0
0.0,0.4,0.2,0.4,1.0
0.0,0.26666666666666666,0.3333333333333333,0.4,1.0
0.0,0.2,0.4,0.4,1.0
0.0,0.13333333333333333,0.4666666666666667,0.4,1.0
0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
0.0,0.2,0.4666666666666667,0.3333333333333333,1.0
0.0,0.3333333333333333,0.4,0.26666666666666666,1.0
0.0,0.26666666666666666,0.4666666666666667,0.26666666666666666,1.0
0.0,0.13333333333333333,0.6,0.26666666666666666,1.0
0.0,0.3333333333333333,0.5333333333333333,0.13333333333333333,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0
